matched_area_clean,total_facilities,beds,cots,operational_norm,anc,art,beoc,blood,caes_sec,ceoc,epi,fp,growm,hbc,hct,ipd,opd,outreach,pmtct,rad_xray,rhtc_rhdc,tb_diag,tb_labs,tb_treat,youth,area_clean,total,population,facilities_per_10k,beds_per_10k,cots_per_10k,operational_count,pct_operational,anc_pct,art_pct,beoc_pct,blood_pct,caes_sec_pct,ceoc_pct,epi_pct,fp_pct,growm_pct,hbc_pct,hct_pct,ipd_pct,opd_pct,outreach_pct,pmtct_pct,rad_xray_pct,rhtc_rhdc_pct,tb_diag_pct,tb_labs_pct,tb_treat_pct,youth_pct
ATHI RIVER,52,247.0,36.0,39,0,1,0,0,0,0,0,23,0,5,0,23,0,0,0,0,0,0,0,0,0,ATHI RIVER,322499.0,322499.0,1.612408100490234,7.658938477328611,1.1162825311086235,39,75.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,44.230769230769226,0.0,9.615384615384617,0.0,44.230769230769226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWENDO,23,152.0,3.0,22,0,2,0,0,0,0,0,13,0,13,0,13,0,0,0,0,0,0,0,0,0,AWENDO,117290.0,117290.0,1.960951487765368,12.959331571318954,0.2557762810128741,22,95.65217391304348,0.0,8.695652173913043,0.0,0.0,0.0,0.0,0.0,56.52173913043478,0.0,56.52173913043478,0.0,56.52173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BALAMBALA,8,8.0,2.0,8,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,BALAMBALA,32257.0,32257.0,2.4800818427008093,2.4800818427008093,0.6200204606752023,8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANISA,7,3.0,0.0,7,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,BANISA,152598.0,152598.0,0.4587216084090224,0.19659497503243817,0.0,7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285714285714,0.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARINGO CENTRAL,54,254.0,19.0,48,0,1,0,0,0,0,0,20,0,19,0,22,0,0,0,0,0,0,0,0,0,BARINGO CENTRAL,96951.0,96951.0,5.569823931676827,26.198801456405814,1.9597528648492537,48,88.88888888888889,0.0,1.8518518518518516,0.0,0.0,0.0,0.0,0.0,37.03703703703704,0.0,35.18518518518518,0.0,40.74074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARINGO NORTH,45,35.0,0.0,43,0,0,0,0,0,0,0,33,0,18,0,20,0,0,0,0,0,0,0,0,0,BARINGO NORTH,104871.0,104871.0,4.290986068598564,3.3374336089099943,0.0,43,95.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,40.0,0.0,44.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELGUT,66,100.0,14.0,59,0,5,0,0,0,0,0,25,0,7,0,25,0,0,0,0,0,0,0,0,0,BELGUT,145072.0,145072.0,4.549465093195103,6.893128929083489,0.9650380500716885,59,89.39393939393939,0.0,7.575757575757576,0.0,0.0,0.0,0.0,0.0,37.878787878787875,0.0,10.606060606060606,0.0,37.878787878787875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOMET CENTRAL,28,214.0,1100.0,23,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,BOMET CENTRAL,175215.0,175215.0,1.5980366977713094,12.213566190109294,62.78001312673002,23,82.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.142857142857142,0.0,3.571428571428571,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOMET EAST,12,159.0,6.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOMET EAST,144275.0,144275.0,0.8317449315543233,11.020620343094784,0.41587246577716164,10,83.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BONDO,41,204.0,7.0,41,0,7,0,0,0,0,0,26,0,27,0,27,0,0,0,0,0,0,0,0,0,BONDO,197883.0,197883.0,2.071931393803409,10.30912205697306,0.3537443843078991,41,100.0,0.0,17.073170731707318,0.0,0.0,0.0,0.0,0.0,63.41463414634146,0.0,65.85365853658537,0.0,65.85365853658537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORABU,36,186.0,4.0,36,0,1,0,0,0,0,0,30,0,25,0,31,0,0,0,0,0,0,0,0,0,BORABU,73167.0,73167.0,4.920250932797573,25.42129648612079,0.5466945480886192,36,100.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0,69.44444444444444,0.0,86.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUMULA,11,107.0,4.0,10,0,3,0,0,0,0,0,9,0,1,0,9,0,0,0,0,0,0,0,0,0,BUMULA,215892.0,215892.0,0.5095140162673929,4.956181794601004,0.18527782409723378,10,90.9090909090909,0.0,27.27272727272727,0.0,0.0,0.0,0.0,0.0,81.81818181818183,0.0,9.090909090909092,0.0,81.81818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNA,8,7.0,2.0,5,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,BUNA,49886.0,49886.0,1.6036563364470993,1.403199294391212,0.4009140841117748,5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,12.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNGOMA CENTRAL,18,40.0,0.0,17,0,2,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,BUNGOMA CENTRAL,177748.0,177748.0,1.012669622161712,2.250376938137138,0.0,17,94.44444444444444,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNGOMA EAST,35,142.0,0.0,30,0,3,0,0,0,0,0,17,0,13,0,14,0,0,0,0,0,0,0,0,0,BUNGOMA EAST,114548.0,114548.0,3.0554876558298703,12.396549917938332,0.0,30,85.71428571428571,0.0,8.571428571428571,0.0,0.0,0.0,0.0,0.0,48.57142857142857,0.0,37.142857142857146,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNGOMA NORTH,19,98.0,4.0,19,0,1,0,0,0,0,0,10,0,3,0,9,0,0,0,0,0,0,0,0,0,BUNGOMA NORTH,121317.0,121317.0,1.5661448931312183,8.078010501413651,0.3297147143434143,19,100.0,0.0,5.263157894736842,0.0,0.0,0.0,0.0,0.0,52.63157894736842,0.0,15.789473684210526,0.0,47.368421052631575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNGOMA SOUTH,46,517.0,34.0,40,0,4,0,0,0,0,0,14,0,0,0,13,0,0,0,0,0,0,0,0,0,BUNGOMA SOUTH,287765.0,287765.0,1.5985265755043179,17.966048685559397,1.1815196427640609,40,86.95652173913044,0.0,8.695652173913043,0.0,0.0,0.0,0.0,0.0,30.434782608695656,0.0,0.0,0.0,28.26086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNGOMA WEST,9,56.0,0.0,9,0,3,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,BUNGOMA WEST,119875.0,119875.0,0.7507820646506779,4.671532846715329,0.0,9,100.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,88.88888888888889,0.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUNYALA,10,87.0,10.0,8,0,2,0,0,0,0,0,6,0,7,0,7,0,0,0,0,0,0,0,0,0,BUNYALA,85977.0,85977.0,1.1631017597729625,10.118985310024774,1.1631017597729625,8,80.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BURA,18,32.0,0.0,18,0,2,0,0,0,0,0,10,0,2,0,9,0,0,0,0,0,0,0,0,0,,,,,,,18,100.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,55.55555555555556,0.0,11.11111111111111,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BURETI,31,450.0,28.0,31,0,3,0,0,0,0,0,21,0,6,0,19,0,0,0,0,0,0,0,0,0,BURETI,199470.0,199470.0,1.554118413796561,22.559783426079107,1.4037198576227001,31,100.0,0.0,9.67741935483871,0.0,0.0,0.0,0.0,0.0,67.74193548387096,0.0,19.35483870967742,0.0,61.29032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUSIA,22,374.0,84.0,22,0,2,0,0,0,0,0,9,0,8,0,8,0,0,0,0,0,0,0,0,0,BUSIA,893681.0,893681.0,0.24617285138656858,4.184938473571666,0.939932705294171,22,100.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,40.909090909090914,0.0,36.36363636363637,0.0,36.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUSIA,22,374.0,84.0,22,0,2,0,0,0,0,0,9,0,8,0,8,0,0,0,0,0,0,0,0,0,BUSIA,142408.0,142408.0,1.5448570305039042,26.262569518566373,5.898545025560362,22,100.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,40.909090909090914,0.0,36.36363636363637,0.0,36.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUTERE,25,160.0,38.0,18,0,1,0,0,0,0,0,9,0,6,0,9,0,0,0,0,0,0,0,0,0,BUTERE,154100.0,154100.0,1.6223231667748215,10.382868267358857,2.4659312134977287,18,72.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,24.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
